,사용월,count,합,월별 비율_1,월별 비율_2
0,1,1811,518227069,1.0002626446601133,0.08335522038834277
1,2,1810,455435229,0.8790641668139576,0.07325534723449646
2,3,1812,482863151,0.9320045233456835,0.07766704361214029
3,4,1815,511600621,0.9874725207980525,0.08228937673317104
4,5,1820,543291415,1.0486409145660338,0.08738674288050281
5,6,1823,543213556,1.048490634015462,0.0873742195012885
6,7,1820,537887326,1.038210142654506,0.0865175118878755
7,8,1821,493383545,0.9523105971785546,0.07935921643154621
8,9,1825,493350330,0.9522464868189655,0.07935387390158045
9,10,1829,548202401,1.0581199173779243,0.0881766597814937
10,11,1825,562197503,1.0851327435620541,0.09042772863017118
11,12,1825,527439796,1.0180447082086919,0.08483705901739098
